Symbol,Portfolio,Last Price $,Change $,Change %,Qty #,Price Paid $,Day's Gain $,Total Gain $,Total Gain %,Value $
AVUV,Brokerage,121.02,-0.33,-0.27,80.00,119.01,-26.40,161.20,1.69,"9,681.60"
GOOG,Brokerage,384.83,-0.01,0.00,9.00,383.00,-0.09,16.51,0.48,"3,463.47"
NFLX,Brokerage,87.35,-0.33,-0.38,60.00,92.68,-19.80,-319.80,-5.75,"5,241.00"
NVDA,Brokerage,212.60,-2.26,-1.05,22.00,221.56,-49.72,-197.12,-4.04,"4,677.20"
PSTV,Brokerage,6.64,0.04,0.61,"2,991.00",11.44,119.64,"-14,347.66",-41.94,"19,860.24"
QBTS,Brokerage,27.48,-0.34,-1.22,360.00,27.68,-122.40,-73.76,-0.74,"9,892.80"
VKTX,Brokerage,31.66,0.86,2.79,146.00,34.03,125.56,-345.29,-6.95,"4,622.36"
VOO,Brokerage,689.96,-0.05,-0.01,10.00,652.88,-0.50,370.80,5.68,"6,899.60"
XSD,Brokerage,621.42,-10.81,-1.71,9.00,600.00,-97.29,192.78,3.57,"5,592.78"
FID FRDM INX 2050 T,401K,41.56,0.00,0.00,"3,975.30",0.00,"1,709.37",1.03,0.00,"166,922.89"
SP TTL INTL IDX CL C,401K,160.59,0.00,0.00,670.20,0.00,"1,822.96",1.69,0.00,"109,450.05"
ALGRX,Roth IRA,118.01,0.99,0.85,0.15,109.41,0.15,1.31,7.86,17.94
QQQM,Roth IRA,300.38,-0.30,-0.10,38.00,262.05,-11.40,"1,456.54",14.63,"11,414.44"
SMH,Roth IRA,595.50,-6.64,-1.10,15.00,448.93,-99.60,"2,198.57",32.65,"8,932.50"
VGT,Roth IRA,117.38,-0.67,-0.57,56.00,97.71,-37.52,"1,101.80",20.14,"6,573.28"
XOVR,Roth IRA,19.88,0.22,1.12,8.00,17.92,1.76,15.69,10.95,159.04
